Alaska_TBD      , Alaska_TBD_1    ,
Alaska_HD       , Alaska_HD_1     ,
Alaska_MD       , Alaska_MD_1     ,
Alaska_LD       , Alaska_LD_1     ,
Australia_TBD   , Australia_TBD_1 ,
Australia_HD    , Australia_HD_1  ,
Australia_MD    , Australia_MD_1  ,
Australia_LD    , Australia_LD_1  ,
Brazil_TBD      , Brazil_TBD_1    ,
Brazil_HD       , Brazil_HD_1     ,
Brazil_MD       , Brazil_MD_1     ,
Brazil_LD       , Brazil_LD_1     ,
C-Africa_TBD    , C-Africa_TBD_1  ,
C-Africa_HD     , C-Africa_HD_1   ,
C-Africa_MD     , C-Africa_MD_1   ,
C-Africa_LD     , C-Africa_LD_1   ,
C-Asia_TBD      , C-Asia_TBD_1    ,
C-Asia_HD       , C-Asia_HD_1     ,
C-Asia_MD       , C-Asia_MD_1     ,
C-Asia_LD       , C-Asia_LD_1     ,
Canada_TBD      , Canada_TBD_1    ,
Canada_HD       , Canada_HD_1     ,
Canada_MD       , Canada_MD_1     ,
Canada_LD       , Canada_LD_1     ,
Caribbean_TBD   , Caribbean_TBD_1 ,
Caribbean_HD    , Caribbean_HD_1  ,
Caribbean_MD    , Caribbean_MD_1  ,
Caribbean_LD    , Caribbean_LD_1  ,
China_TBD       , China_TBD_1     ,
China_HD        , China_HD_1      ,
China_MD        , China_MD_1      ,
China_LD        , China_LD_1      ,
E-Africa_TBD    , E-Africa_TBD_1  , 
E-Africa_HD     , E-Africa_HD_1   , 
E-Africa_MD     , E-Africa_MD_1   , 
E-Africa_LD     , E-Africa_LD_1   , 
E-Asia_TBD      , E-Asia_TBD_1    , 
E-Asia_HD       , E-Asia_HD_1     , 
E-Asia_MD       , E-Asia_MD_1     , 
E-Asia_LD       , E-Asia_LD_1     , 
E-Europe_TBD    , E-Europe_TBD_1  , 
E-Europe_HD     , E-Europe_HD_1   , 
E-Europe_MD     , E-Europe_MD_1   , 
E-Europe_LD     , E-Europe_LD_1   , 
Greenland_TBD   , Greenland_TBD_1 , 
Greenland_HD    , Greenland_HD_1  , 
Greenland_MD    , Greenland_MD_1  , 
Greenland_LD    , Greenland_LD_1  , 
India_TBD       , India_TBD_1     , 
India_HD        , India_HD_1      , 
India_MD        , India_MD_1      , 
India_LD        , India_LD_1      , 
Middle-Am_TBD   , Middle-Am_TBD_1 , 
Middle-Am_HD    , Middle-Am_HD_1  , 
Middle-Am_MD    , Middle-Am_MD_1  , 
Middle-Am_LD    , Middle-Am_LD_1  , 
Mid-East_TBD    , Mid-East_TBD_1  , 
Mid-East_HD     , Mid-East_HD_1   , 
Mid-East_MD     , Mid-East_MD_1   , 
Mid-East_LD     , Mid-East_LD_1   , 
N-Africa_TBD    , N-Africa_TBD_1  , 
N-Africa_HD     , N-Africa_HD_1   , 
N-Africa_MD     , N-Africa_MD_1   , 
N-Africa_LD     , N-Africa_LD_1   , 
NC-USA_TBD      , NC-USA_TBD_1    , 
NC-USA_HD       , NC-USA_HD_1     , 
NC-USA_MD       , NC-USA_MD_1     , 
NC-USA_LD       , NC-USA_LD_1     , 
NE-USA_TBD      , NE-USA_TBD_1    , 
NE-USA_HD       , NE-USA_HD_1     , 
NE-USA_MD       , NE-USA_MD_1     , 
NE-USA_LD       , NE-USA_LD_1     , 
N-Europe_TBD    , N-Europe_TBD_1  , 
N-Europe_HD     , N-Europe_HD_1   , 
N-Europe_MD     , N-Europe_MD_1   , 
N-Europe_LD     , N-Europe_LD_1   , 
NW-USA_TBD      , NW-USA_TBD_1    , 
NW-USA_HD       , NW-USA_HD_1     , 
NW-USA_MD       , NW-USA_MD_1     , 
NW-USA_LD       , NW-USA_LD_1     , 
Oceania_TBD     , Oceania_TBD_1   , 
Oceania_HD      , Oceania_HD_1    , 
Oceania_MD      , Oceania_MD_1    , 
